DATE_PERIOD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL
2008-08-27,15/9-F-12,24.0,267.487,105.993,170.234,12.623,34.77368,97.253,72.262,2084.0
2008-08-28,15/9-F-12,23.83,267.099,105.977,170.308,12.494,34.61917,96.79,72.648,2087.0
2008-08-29,15/9-F-12,24.0,266.385,105.983,170.193,13.272,35.87947,96.191,73.871,2190.0
2008-08-30,15/9-F-12,24.0,266.995,105.972,169.961,12.659,34.84776,97.034,72.28,2059.0
2008-08-31,15/9-F-12,10.5,268.166,105.959,170.564,11.131,30.02816,97.603,69.859,625.0
2008-09-01,15/9-F-12,24.0,267.856,105.958,170.312,11.18,34.25806,97.544,69.874,2029.0
2008-09-02,15/9-F-12,9.71,268.141,105.97,170.303,12.515,32.68822,97.838,71.39,837.0
2008-09-06,15/9-F-12,8.5,270.216,105.659,174.794,2.959,32.43891,95.422,51.116,761.0
2008-09-07,15/9-F-12,24.0,268.697,105.961,171.259,8.603,35.50777,97.438,69.261,2173.0
2008-09-08,15/9-F-12,5.71,269.607,105.955,171.045,10.42,30.48369,98.563,70.642,500.0
2008-09-10,15/9-F-12,23.6,273.546,105.557,176.262,2.785,22.26945,97.284,40.061,1182.0
2008-09-11,15/9-F-12,24.0,260.001,106.061,172.705,12.499,44.18525,87.296,73.901,4067.0
2008-09-12,15/9-F-12,24.0,259.202,106.062,171.628,14.772,42.83797,87.575,73.408,3736.0
2008-09-13,15/9-F-12,24.0,256.708,106.066,171.459,15.356,45.71124,85.249,75.053,4058.0
2008-09-14,15/9-F-12,24.0,255.087,106.067,170.87,15.873,45.8337,84.217,76.836,4036.0
2008-09-15,15/9-F-12,24.0,253.333,106.068,170.478,15.934,46.24048,82.854,77.654,4047.0
2008-09-16,15/9-F-12,24.0,251.532,106.062,169.735,15.835,46.28296,81.797,77.833,4005.0
2008-09-17,15/9-F-12,24.0,249.432,106.053,168.786,15.61,46.22387,80.647,77.782,3937.0
2008-09-18,15/9-F-12,24.0,253.179,105.947,168.115,12.015,36.73361,85.064,67.704,2503.0
2008-09-19,15/9-F-12,24.0,251.716,105.961,167.475,11.704,37.12605,84.241,70.3,2551.0
2008-09-20,15/9-F-12,24.0,245.816,106.015,166.583,14.003,44.88508,79.232,76.726,3606.0
2008-09-21,15/9-F-12,22.17,245.887,105.994,166.338,12.633,41.21113,79.549,72.974,2859.0
2008-09-22,15/9-F-12,18.29,242.49,106.039,166.233,14.488,45.30538,76.257,77.701,2847.0
2008-09-23,15/9-F-12,24.0,241.212,106.048,165.771,14.167,46.17862,75.441,77.734,3653.0
2008-09-24,15/9-F-12,24.0,239.903,106.049,165.249,14.585,46.37669,74.654,77.639,3629.0
2008-09-25,15/9-F-12,24.0,240.836,106.013,164.537,13.868,44.14644,76.299,76.404,3390.0
2008-09-26,15/9-F-12,24.0,237.613,106.048,164.527,14.33,46.80728,73.086,76.391,3576.0
2008-09-27,15/9-F-12,24.0,239.53,106.03,164.524,13.187,43.36785,75.006,72.715,3175.0
2008-09-28,15/9-F-12,24.0,238.215,106.032,164.213,13.597,45.0341,74.001,76.376,3371.0
2008-09-29,15/9-F-12,24.0,236.522,106.046,164.051,13.928,46.55129,72.472,76.908,3512.0
2008-09-30,15/9-F-12,24.0,236.111,106.053,164.052,14.034,46.62032,72.059,77.319,3627.0
2008-10-01,15/9-F-12,24.0,235.135,106.064,164.013,14.164,47.28816,71.122,77.639,3607.0
2008-10-02,15/9-F-12,24.0,234.697,106.063,163.754,14.022,47.31026,70.943,77.301,3320.0
2008-10-03,15/9-F-12,24.0,234.165,106.062,163.415,13.827,47.34629,70.75,76.341,3594.0
2008-10-04,15/9-F-12,24.0,241.525,105.955,164.494,11.016,36.54631,77.03,64.93,2464.0
2008-10-05,15/9-F-12,24.0,233.892,106.044,163.274,12.816,47.0641,70.617,75.262,3377.0
2008-10-06,15/9-F-12,22.33,242.246,105.921,163.306,10.826,36.34842,78.94,70.0,2127.0
2008-10-07,15/9-F-12,24.0,239.516,105.951,162.371,11.827,40.82481,77.145,71.832,2726.0
2008-10-08,15/9-F-12,24.0,239.485,105.951,162.414,12.024,40.82666,77.071,73.183,2719.0
2008-10-09,15/9-F-12,24.0,239.48,105.951,162.299,12.087,40.82958,77.181,73.137,2714.0
2008-10-10,15/9-F-12,24.0,239.417,105.952,162.2,11.956,40.84937,77.217,71.59,2720.0
2008-10-11,15/9-F-12,24.0,239.167,105.952,162.23,11.815,40.91507,76.937,71.774,2740.0
2008-10-12,15/9-F-12,24.0,238.341,105.972,162.538,12.305,41.85422,75.803,73.331,2825.0
2008-10-13,15/9-F-12,24.0,238.302,105.968,162.358,12.261,41.78594,75.945,73.362,2828.0
2008-10-14,15/9-F-12,24.0,238.36,105.971,162.438,12.281,41.78983,75.922,74.732,2829.0
2008-10-15,15/9-F-12,24.0,238.336,105.974,162.247,12.269,41.8465,76.088,73.774,2825.0
2008-10-16,15/9-F-12,24.0,238.346,105.975,162.307,12.152,41.82764,76.039,74.113,2825.0
2008-10-17,15/9-F-12,24.0,238.306,105.974,162.273,12.133,41.82633,76.032,73.97,2832.0
2008-10-18,15/9-F-12,19.0,235.449,105.988,163.436,10.871,43.57938,72.013,70.128,2520.0
2008-10-19,15/9-F-12,24.0,239.876,105.975,162.71,11.931,40.26979,77.166,72.053,2714.0
2008-10-20,15/9-F-12,24.0,240.737,105.95,162.291,11.454,39.72026,78.446,69.858,2664.0
2008-10-21,15/9-F-12,24.0,241.078,105.951,162.37,11.5,39.54749,78.708,70.996,2653.0
2008-10-22,15/9-F-12,24.0,234.771,106.046,162.717,11.306,46.54652,72.054,74.773,3421.0
2008-10-23,15/9-F-12,24.0,235.276,106.061,162.784,13.268,45.94962,72.491,73.334,3363.0
2008-10-24,15/9-F-12,24.0,234.731,106.074,162.894,13.412,46.54539,71.836,73.309,3426.0
2008-10-25,15/9-F-12,24.0,234.09,106.094,163.029,13.522,47.30775,71.061,72.745,3525.0
